,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
2062,8,8,4,1,1,-144.1461,67.3978,260,0.281088874,160.1169337,4940,2092,557,1645,265,808,2000,1994,137,103,138,104,0.0,304.970001220703,65318.12890625,10.9300003051758,-1.10000002384186,13859,13635,2022,5,7,1,0,0,0.416391372680664,-0.601837793986003,97284.8946940104,3.39597463607788e-05,-0.0008111651986837,4.10526990890503e-06,0.0004975050687789,0.0074462890625,218.204737345378,7.18636067708333,269.746430714925,278.560549418132,0.25
1268,9,9,4,1,1,-151.29295,63.372,587,0.438976247,280.7220372,-26,-34,5766,5736,5670,555,2000,2000,361,429,360,429,0.0,266.510009765625,43586.37890625,3.5699999332428,-10.5500001907349,13593,12941,2015,3,23,0,0,0,1.26387278238932,-0.354610443115234,93099.4401041667,0.0003601461648941,-0.0003005806356668,0.0,0.0,1.22928873697917,303.188135782878,100.0,264.66970761617,268.535456975301,0.827325647578969
530,8,8,4,1,1,-152.80542,65.2734909090909,414,0.017139103,338.7470069,5995,2367,391,1562,206,815,2000,535,320,373,321,374,0.0,339.140014648438,58017.9296875,14.9200000762939,-1.60000002384186,13749,13694,2005,4,26,0,0,0,-0.908783117930094,-0.650400161743164,98247.6974283854,0.0005941838026046,-0.0002607349306344,0.0,0.0098208375275135,0.543375651041667,351.069320678711,99.998046875,271.233287175496,276.113572438558,13.2342937787521
785,8,8,4,1,1,-141.5132,63.2899,933,0.091497469,198.3927964,1489,1391,2540,3429,2759,380,2000,2000,271,277,252,244,0.0,192.490005493164,36273.421875,-13.0900001525879,-28.5,12730,12450,2009,3,4,0,0,3,-0.0369776089986165,0.838123957316081,91678.0245768229,0.0001505315303802,6.74091279506683e-06,0.0004159547388553,0.0,0.50048828125,164.405258178711,99.35546875,250.372165044149,253.863114039103,0.25
135,8,8,4,1,1,-155.5258,64.2712,198,0.090133156,68.36250382,6612,3133,399,1957,256,733,1977,53,211,188,211,188,0.0,213.899993896484,59670.30859375,3.72000002861023,-2.51999998092651,13724,13081,2002,5,2,0,0,0,0.564155419667562,0.735108693440755,100747.652994792,0.0002457946538925,-0.0007516462355852,0.000202365219593,0.0,0.412394205729167,267.868799845378,98.9140625,268.486279169718,272.610773086548,0.25
382,8,8,4,1,1,-141.5859,64.3192,655,0.193440711,87.7864654,6163,2755,418,1761,278,1123,1992,2000,246,252,257,257,6.65999984741211,232.660003662109,62879.8984375,8.75,-2.69000005722046,14358,13977,2004,5,9,1,0,0,-0.106873234113057,0.0460732777913411,92018.7522786458,0.0002682507038116,-0.0007159858942031,0.0045115947723388,0.0027930662035942,0.059814453125,324.915023803711,59.3619791666667,268.277430852254,275.511210123698,0.25
1456,9,9,4,1,1,-157.818533333333,65.7688,280,0.160497987,101.6690669,6365,3680,617,2778,240,981,2000,1980,316,360,316,361,0.0,341.209991455078,60130.76171875,7.48999977111816,-3.49000000953674,13877,13678,2015,4,30,0,0,0,-1.14250699679057,0.392195383707682,98390.650390625,0.0007965564727783,-0.0005917213857173,0.0,0.0044069029390811,0.305704752604167,346.079411824544,100.0,270.540714899699,274.552033106486,0.160212321950212
483,9,9,4,1,1,-141.93002,65.67524,371,0.313403825,299.2827652,4,6,6070,6076,5852,545,4000,2000,409,462,403,459,0.0,185.619995117188,42341.859375,-13.2200002670288,-22.4300003051758,12905,12745,2005,3,20,1,0,0,-2.34595123926798,-1.69443511962891,96582.576171875,0.000137522816658,-0.0002833539620041,2.44155526161194e-05,0.0,0.536661783854167,212.243474324544,99.4375,253.307701746623,258.187240600586,0.598968931297804
617,8,8,4,1,1,-148.5417,64.4164,162,0.289804194,354.6681663,564,716,4875,5458,3581,498,2000,1998,293,287,290,286,0.0,305.859985351562,46438.96875,4.26999998092651,-19.1599998474121,13226,12518,2006,3,30,0,0,0,-0.284849961598714,-1.53247451782227,98265.9853515625,5.65648078918457e-05,-0.0003351382911205,0.0,0.0,0.303059895833333,184.247380574544,100.0,253.602478663127,259.961365381877,0.25
368,8,8,4,4,4,-152.9843125,66.119025,301,0.093323356,186.3599191,4685,1950,587,1622,250,968,62,1263,231,239,238,247,2.25999999046326,202.009994506836,64141.578125,7.09000015258789,-0.920000016689301,13957,13214,2004,5,7,0,0,0,-0.488227844238281,-0.678473790486654,97997.5081380208,0.0011269301176071,-0.0001520616933703,0.0,0.0052493177354335,0.078125,384.607732137044,78.4702962239583,274.923699696859,275.408373514811,13.4886697307878
